review_id,rating,body,app_version
e8efcb53-39fa-431c-922f-b17ba93b3939,1,Amazing,2.8.0
6586d138-1195-44bf-b39c-d7da878c0de3,5,nice,4.7.0
1db021c6-3236-44e7-9b23-2bf2abae9a71,1,Theeee worst u can have ......the tira,2.5.0
7bd254ee-be31-45fd-b06d-7ec3eb1d94b5,4,Good,1.1.0
a49f053a-2023-4910-a957-14ed3cd7293a,5,EXCELLENT BEAUTY APP.. WITH AFFORDABLE PRICES..,1.1.0
3d40adeb-c5b5-4435-9159-dfb2f41f1bcb,4,Good app 👍,3.5.0
f0fe2352-1a87-47a2-af12-e43d81a7552e,5,just wow everything in reasonable price and extra discount,4.7.0
2143c7fc-b0ed-4c97-8acc-ba90fce96b80,3,Nice experience,1.1.0
18df82a6-8859-460f-932a-b4ac85bbcfc5,1,It doesn't have cod option I'm 16 I don't have any online paying apps!!,1.2.0
8eb484da-225e-429f-8dbc-b34db4e50ad2,5,great,4.7.0
6e888b78-cefb-4062-be26-da26c263dad8,3,Very disappointed.Products are always out of stock.,3.5.0
783703fb-b13a-4d93-9087-f0fa204dc35a,1,Please Don't blindly Trust the Tira...I received used product and tomuch scratches on the Foundation and Lipstick seal is opened.. I raised issue but no use. Return Policy System is not genuine and operation team are only experts in rejecting. Help center teams members also not solving the problem they answer only Sorry for Inconvenience that sorry don't solve our problems Got it....,3.5.0
855203e5-da1f-4aaa-a649-996337063a70,1,"my product came empty, they refused to refund and is not helping either. Very bad app. Never ever shop from here. I have called, emailed and raised queries multiple times. They are just not helping",1.1.0
28c83199-acbc-4f0e-b455-3d4ecaececeb,1,"Order placed for over 48 hours hasn't yet been confirmed even, although they are saying that shipment will be done within 1-2 business days. Based on bad reviews of this app, I wonder if cancelling the order will be the right thing to do.",1.7.1
e023a28e-7d78-4381-95ab-ccd5e5aa8b93,3,pain stakingly slowness on app,4.7.0
29564ee0-3844-46c0-8faa-4c1e30968a87,1,I ordered a OSIS hair mousse but got delivered by professional de tan mask... they don't approve my return and not even respond to that particular problem. bad experience,4.7.0
490aabce-e305-46a1-b6cc-a16ebfaa4582,3,gr आहे का c अlllooooots HCC g c c v TTV vs zk,1.1.0
4498cd07-5bfd-49d6-b279-56763f9747f5,5,👍,3.8.0
207600c5-4580-47fa-a0e8-56ff1782948d,1,"Sells poor quality items,I have had a very bad experience ordering products from Tira,I got a bad quality l'oreal absolut repair mask from here",3.5.0
30941a72-40d4-4577-bcd0-412d9640cf63,5,nice,3.8.0
9e22e85d-36d4-415a-804e-ba5552306f63,5,Good variety,2.8.0
16a6a4b7-0af5-43e4-a814-5034aea4430f,1,Poor customer service and less options,3.0.0
9024092b-ce62-4946-80a6-02fc2dc33987,3,Such a fruad app..they are taking money and not delivering the order..every day they attemt fake delivery and shows false reason that my premises is closed..but no one is attempting the delivery..customer support is not responin..worst app,4.7.0
4c8993c7-73b3-41d2-9488-e0e169f9b457,5,Last week l placed my first order delivery was super fast and got a great discount too.,2.5.0
b401bc4f-b12f-41cb-85d5-ba864d8b556f,5,Bolo,1.0.6
606eeaad-4041-489f-85cc-26aa85e3c48c,1,Nice work,1.0.6
0cbbf770-9678-4946-b348-8797b996fc48,5,Tira amazing app in app so many types of products I m very influence thanku..,3.5.0
0171c3bb-8019-48cd-b7db-54cc0dd341a9,1,Tira will show u every uneccessary thing except ur own orders hidden somewhere god knows,4.7.0
f61a8caf-525d-4147-ad97-43e2de99f6e6,3,Good price In other application,1.0.4
345df2a7-7b5d-4439-992e-26a51c4dadee,1,"It is a very low grade app to shop I have ever seen.I order A loreal shampoo from them,and they delivered me some Chinese quality lipstick and even after delivery,they have not updated in app about product is delivered..and since when it is not updated in Tira app,there is no option to return or refund..After so many complaints and tickets raised in their app,they have updated it after 10-12 days of delivery..and when I returned the product even now they have not refunded my money..",1.7.1
f8f259e1-9a24-495c-bd0a-5eced2d582bc,1,Bug app,2.5.0
313d226e-819d-4420-b058-84a2efbbeb27,3,"Great job. A lot of brands are there. But. There are only few really good and effective skincare brands. That's a pity. Please try to bring in The Ordinary, Paula's Choice, The FormulaRx, Beauty of Joseon, iUNIK, Cerave and new indian owned brands that are showing potential like Put Simply, Cerene, if you wanna ace your competitors.",1.1.0
e3518165-41f1-450d-acdc-bb2e619f1b55,1,I ordered from tira and received a damaged product. Now neither are they taking returns nor my money is coming back.,1.2.1
a702c237-3a98-4ece-93a3-54429fb1681a,1,They don't have proper discounts. As basic as Nykaa and Purpelle. I really don't get the value creation this app is trying to do. Just a Xerox of a Xerox of a Xerox.,1.1.0
6e1b5fba-3fb2-4e9b-b241-ee0db9263d48,3,Great,3.8.0
8730396b-d6b2-43e8-baaa-6e2e76327664,1,Worst,1.1.0
84d7b92c-6f84-4dee-b0e9-408c20a67327,1,Disgusting customer care service as well as delivery is either delayed or return without even attempt to deliver,1.0.4
0e405ef5-7a72-4ff4-b1c5-278fb02d6bd5,5,very good,3.8.0
75de29b3-fb55-4335-b76a-55610aea50be,1,My order has been delayed by 11 days and more,2.5.0
50cb81fa-a3f3-4fdf-8055-7e8098571bdd,3,Jst ok ok,2.5.0
5e779aa0-5f38-4407-ab81-56326188cf8e,5,Very good app,3.8.0
f5152363-781d-4c9b-bb07-89ac88f67634,1,Worts service .....once you buy a product n try to return it.....you have suffer atleast 1 month.....till ur refund will not receive.....return pick up is a very hard task ....and 1 month wait for ur refund they answered 'mam allow us more time pls' don't download tira pls ye fraud aap he pls ise koi bhi download ka kare ek baar aap ne order Kia to aapke paise dub Gaye samjiye,1.1.0
ff795d2e-5c71-4c8d-9a83-a1b4d9bb83b6,1,Bad app,1.0.6
3fd63772-4e44-46d2-bbd5-72ab2c482c82,3,one time I had ordered few products but I recieved totally different products which are of no use to me. I couldn't return it because I was out of town and my aunt had already received the parcel two weeks before. We order something because we need it please do not sent the products which are not ordered!!,4.7.0
42e4dfb9-b7cd-4efd-8b36-b7b4353ed404,5,Guuuud🩷,2.5.0
