item_id,Item Code,Brand,L1,Product Priority,Social Nudge
7514721,1029039,MyGlamm,Makeup,53506.0,
7514730,939140,Colorbar,Makeup,53507.0,
7514697,973985,Insight Cosmetics,Makeup,53508.0,
7514693,1018385,MyGlamm,Makeup,53509.0,
7514674,973965,Insight Cosmetics,Makeup,53510.0,
7514661,945923,MyGlamm,Makeup,53511.0,
7514641,948403,Miss Claire,Makeup,53512.0,
7514634,960102,Chambor,Makeup,53513.0,
7514633,945910,MyGlamm,Makeup,53514.0,
7514620,945812,MyGlamm,Makeup,53515.0,
7514606,945829,MyGlamm,Makeup,53516.0,
7514605,1029038,MyGlamm,Makeup,53517.0,
7514600,973968,Insight Cosmetics,Makeup,53518.0,
7514601,945925,MyGlamm,Makeup,53519.0,
7514583,946014,MyGlamm,Makeup,53520.0,
7514580,973921,Insight Cosmetics,Makeup,53521.0,
7514579,938858,Colorbar,Makeup,53522.0,
7514578,945871,MyGlamm,Makeup,53523.0,
7514575,974016,Insight Cosmetics,Makeup,53524.0,
7514572,939145,Colorbar,Makeup,53525.0,
7514571,945735,MyGlamm,Makeup,53526.0,
7514543,1024550,Insight Cosmetics,Makeup,53527.0,
7514566,945874,MyGlamm,Makeup,53528.0,
7514542,960127,Chambor,Makeup,53529.0,
7514529,938918,Colorbar,Makeup,53530.0,
7514534,960093,Chambor,Makeup,53531.0,
7514504,945881,MyGlamm,Makeup,53532.0,
7514497,960129,Chambor,Makeup,53533.0,
7514499,946032,MyGlamm,Makeup,53534.0,
7514484,945867,MyGlamm,Makeup,53535.0,
7514487,960096,Chambor,Makeup,53536.0,
7514483,960097,Chambor,Makeup,53537.0,
7514455,945706,MyGlamm,Makeup,53538.0,
7514446,945730,MyGlamm,Makeup,53539.0,
7514432,945689,MyGlamm,Makeup,53540.0,
7514429,945679,MyGlamm,Makeup,53541.0,
7514425,945928,MyGlamm,Makeup,53542.0,
7514420,945681,MyGlamm,Makeup,53543.0,
7514409,973913,Insight Cosmetics,Makeup,53544.0,
7514414,945726,MyGlamm,Makeup,53545.0,
7514398,945869,MyGlamm,Makeup,53546.0,
7514408,974136,Insight Cosmetics,Makeup,53547.0,
7514374,945922,MyGlamm,Makeup,53548.0,
7514364,1018533,MyGlamm,Makeup,53549.0,
7514350,945931,MyGlamm,Makeup,53550.0,
7514322,974137,Insight Cosmetics,Makeup,53551.0,
7514345,1018438,MyGlamm,Makeup,53552.0,
7514309,945893,MyGlamm,Makeup,53553.0,
7514306,1024601,Insight Cosmetics,Makeup,53554.0,
7514299,1024597,Insight Cosmetics,Makeup,53555.0,
7514291,974140,Insight Cosmetics,Makeup,53556.0,
7514258,1018418,MyGlamm,Makeup,53557.0,
7514270,973967,Insight Cosmetics,Makeup,53558.0,
7514241,973986,Insight Cosmetics,Makeup,53559.0,
7514239,945732,MyGlamm,Makeup,53560.0,
7514225,939609,Faces Canada,Makeup,53561.0,
7514200,974007,Insight Cosmetics,Makeup,53562.0,
7514197,974142,Insight Cosmetics,Makeup,53563.0,
7514195,974139,Insight Cosmetics,Makeup,53564.0,
7514190,945677,MyGlamm,Makeup,53565.0,
7514194,974131,Insight Cosmetics,Makeup,53566.0,
7514167,973918,Insight Cosmetics,Makeup,53567.0,
7514174,945734,MyGlamm,Makeup,53568.0,
7514163,974005,Insight Cosmetics,Makeup,53569.0,
7514161,974004,Insight Cosmetics,Makeup,53570.0,
7514158,973971,Insight Cosmetics,Makeup,53571.0,
7514149,973989,Insight Cosmetics,Makeup,53572.0,
7514120,974008,Insight Cosmetics,Makeup,53573.0,
7514109,974141,Insight Cosmetics,Makeup,53574.0,
7514055,1024595,Insight Cosmetics,Makeup,53575.0,
7514049,974006,Insight Cosmetics,Makeup,53576.0,
7514026,973990,Insight Cosmetics,Makeup,53577.0,
7514023,1024596,Insight Cosmetics,Makeup,53578.0,
7514013,1024609,Insight Cosmetics,Makeup,53579.0,
7513983,939616,Faces Canada,Makeup,53580.0,
7514002,1024607,Insight Cosmetics,Makeup,53581.0,
7513975,1024608,Insight Cosmetics,Makeup,53582.0,
7513974,1024605,Insight Cosmetics,Makeup,53583.0,
7513964,1024593,Insight Cosmetics,Makeup,53584.0,
7513958,1024612,Insight Cosmetics,Makeup,53585.0,
7513949,1024613,Insight Cosmetics,Makeup,53586.0,
7513939,1024603,Insight Cosmetics,Makeup,53587.0,
7513915,939619,Faces Canada,Makeup,53588.0,
7513927,1024606,Insight Cosmetics,Makeup,53589.0,
7513866,1024604,Insight Cosmetics,Makeup,53590.0,
7513849,939597,Faces Canada,Makeup,53591.0,
7513780,939622,Faces Canada,Makeup,53592.0,
